Temperature,L,R,A_M,Type,Color_encode,Spectral_Class_encode
11096,112000,12,-5.91,4,0,6
14245,231000,42,-6.12,4,0,6
24630,363000,63,-5.83,4,0,6
12893,184000,36,-6.34,4,0,6
24345,142000,57,-6.24,4,0,6
32622,352000,67,-5.79,4,0,6
3459,100000,106.720875,-10.7,5,3,5
3605,126000,106.720875,-10.81,5,3,5
3615,200000,106.720875,-11.33,5,3,5
3399,117000,106.720875,-10.92,5,3,5
3610,132000,106.720875,-10.86,5,3,5
3553,145000,106.720875,-11.03,5,3,5
4015,282000,106.720875,-11.39,5,3,4
3625,74000,106.720875,-10.25,5,3,5
6850,229000,106.720875,-10.07,5,3,3
3780,200000,106.720875,-10.7,5,3,5
3323,0.00043,0.0912,17.16,0,3,5
3531,0.00093,0.0976,19.94,0,3,5
3218,0.00054,0.11,20.02,0,3,5
3146,0.00015,0.0932,16.92,0,3,5
3511,0.00064,0.109,17.12,0,3,5
3225,0.00076,0.121,19.63,0,3,5
2935,0.00087,0.0932,16.88,0,3,5
2861,0.00019,0.0899,16.71,0,3,5
2856,0.000896,0.0782,19.56,0,3,5
2731,0.000437,0.0856,18.09,0,3,5
3095,0.00019,0.492,10.87,1,3,5
3607,0.00023,0.38,10.34,1,3,5
3100,0.008,0.31,11.17,1,3,5
2989,0.0087,0.34,13.12,1,3,5
3542,0.0009,0.62,14.23,1,3,5
3243,0.0023,0.73,14.75,1,3,5
3091,0.0081,0.24,11.43,1,3,5
3598,0.0011,0.56,14.26,1,3,5
3324,0.0034,0.34,12.23,1,3,5
3541,0.0013,0.256,14.33,1,3,5
13420,0.00059,0.00981,13.67,2,1,1
21020,0.0015,0.0112,11.52,2,0,1
18290,0.0013,0.00934,12.78,2,0,1
14520,0.00082,0.00972,11.92,2,1,1
11900,0.00067,0.00898,11.38,2,1,1
8924,0.00028,0.00879,14.87,2,1,0
12912,0.00071,0.00945,12.83,2,1,1
14732,0.00011,0.00892,12.89,2,4,2
7723,0.00014,0.00878,14.81,2,4,0
12984,0.00088,0.00996,11.23,2,1,1
29560,188000,6.02,-4.01,3,1,1
8945,38,2.487,0.12,3,1,0
14060,1092,5.745,-2.04,3,1,0
16390,1278,5.68,-3.32,3,1,1
25070,14500,5.92,-3.98,3,1,1
28700,16790,6.4,-4.09,3,1,1
26140,14520,5.49,-3.8,3,1,1
20120,4720,6.78,-3.4,3,1,1
13023,998,6.21,-1.38,3,1,0
32622,202900,6.86,-4.56,3,0,6
25390,223000,57,-5.92,4,0,6
11567,251000,36,-6.245,4,0,6
12675,452000,83,-5.62,4,0,6
5752,245000,97,-6.63,4,0,6
8927,239000,35,-7.34,4,0,6
7282,131000,24,-7.22,4,0,6
19923,152000,73,-5.69,4,0,6
26373,198000,39,-5.83,4,0,6
17383,342900,30,-6.09,4,0,6
9373,424520,24,-5.99,4,0,6
3570,320000,106.720875,-7.58,5,3,5
3500,138000,106.720875,-8.18,5,3,5
4287,495124.9987,106.720875,-9.2,5,2,4
26000,316000,106.720875,-9.1,5,0,1
3600,240000,106.720875,-7.89,5,3,5
3614,145000,106.720875,-7.71,5,3,5
18000,200000,106.720875,-8.3,5,0,6
11000,170000,106.720875,-9.9,5,1,1
12100,120000,106.720875,-7.84,5,1,1
24490,248490,106.720875,-8.24,5,1,1
2831,0.000231,0.0915,16.21,0,3,5
2914,0.000631,0.116,18.39,0,3,5
3419,0.000245,0.126,17.56,0,3,5
3218,0.000452,0.0987,17.34,0,3,5
3453,0.000621,0.0773,17.08,0,3,5
2889,0.000352,0.0973,16.93,0,3,5
2968,0.000461,0.119,17.45,0,3,5
3484,0.000551,0.0998,16.67,0,3,5
2778,0.000849,0.112,19.45,0,3,5
3523,0.000957,0.129,16.35,0,3,5
3462,0.0053,0.148,11.47,1,3,5
3257,0.0024,0.46,10.73,1,3,5
2994,0.0072,0.28,13.45,1,3,5
3212,0.0016,0.378,12.854,1,3,5
3523,0.0054,0.319,12.43,1,3,5
3598,0.0027,0.67,13.667,1,3,5
3142,0.00132,0.258,14.12,1,3,5
3496,0.00125,0.336,14.94,1,3,5
3324,0.0065,0.471,12.78,1,3,5
3463,0.0027,0.675,14.776,1,3,5
16790,0.0014,0.0121,12.87,2,0,1
15680,0.00122,0.0114,11.92,2,0,1
14982,0.00118,0.0113,12.23,2,0,1
13340,0.00109,0.0116,12.9,2,0,1
18340,0.00134,0.0124,11.22,2,0,1
19920,0.00156,0.0142,11.34,2,0,1
24020,0.00159,0.0127,10.55,2,0,1
23092,0.00132,0.0104,10.18,2,0,1
17920,0.00111,0.0106,11.66,2,0,1
19360,0.00125,0.00998,11.62,2,0,1
22350,12450,6.36,-3.67,3,1,1
10012,552,5.856,0.013,3,1,0
13089,788,5.992,-0.12,3,1,0
22012,6748,6.64,-2.55,3,1,1
32622,198200,6.39,-4.57,3,0,6
32460,173800,6.237,-4.36,3,0,6
9320,29,1.91,1.236,3,1,0
19400,10920,6.03,-3.08,3,1,1
17140,883,5.653,-2.64,3,1,1
8250,9.25,1.93,-0.98,3,6,2
23678,244290,35,-6.27,4,0,6
12749,332520,76,-7.02,4,0,6
9383,342940,98,-6.98,4,0,6
23440,495124.9987,81,-5.975,4,0,6
16787,246730,62,-6.35,4,0,6
18734,224780,46,-7.45,4,0,6
9892,495124.9987,80,-7.262,4,0,6
10930,495124.9987,25,-6.224,4,0,6
23095,347820,86,-5.905,4,0,6
21738,495124.9987,92,-7.346,4,0,6
24145,382993,106.720875,-8.84,5,1,1
32622,272830,106.720875,-9.29,5,0,6
32489,495124.9987,106.720875,-10.84,5,0,6
27739,495124.9987,106.720875,-7.59,5,1,1
21904,495124.9987,106.720875,-7.67,5,1,1
32622,374830,106.720875,-9.93,5,0,6
30839,495124.9987,106.720875,-10.63,5,0,6
8829,495124.9987,106.720875,-10.73,5,4,0
9235,404940,106.720875,-11.23,5,4,0
32622,294903,106.720875,-7.8,5,0,6
